cookieId,Date,Diameter,Ovality,Cutsize,AlmondArea,BakeMeasure,DefectType,cookietype
1693393,2015-05-12 17:07:08,58.959,0.635,0.786,73.413002,55.42599869,Over dia,Delishus_NB_75
1693394,2015-05-12 17:07:17,56.873001,0.801,0.88,204.938995,19.8579998,UnderBaked,Delishus_NB_75
1693395,2015-05-12 17:07:17,57.313,0.655,0.861,142.531998,69.7539978,GoodBiscuit,Delishus_NB_75
1693396,2015-05-12 17:07:17,59.075001,0.947,1.201,231.781998,19.60000038,Over dia,Delishus_NB_75
1693397,2015-05-12 17:07:18,58.287998,1.1440001,1.084,268.824005,13.21100044,Over dia,Delishus_NB_75
1693398,2015-05-12 17:07:18,57.376999,0.817,0.69,264.394989,17.17000008,UnderBaked,Delishus_NB_75
1693399,2015-05-12 17:07:18,56.348,1.258,1.194,138.505005,28.88100052,GoodBiscuit,Delishus_NB_75
1693400,2015-05-12 17:07:18,54.076,1.164,1.025,142.263,28.46100044,GoodBiscuit,Delishus_NB_75
1693401,2015-05-12 17:07:18,59.571999,0.55,0.7,297.411011,22.88599968,Over dia,Delishus_NB_75
1693402,2015-05-12 17:07:19,58.283001,1.022,1.141,287.075989,25.67700005,Over dia,Delishus_NB_75
1693403,2015-05-12 17:07:19,58.647999,0.465,0.66,335.391998,16.29899979,Over dia,Delishus_NB_75
1693404,2015-05-12 17:07:19,56.884998,1.2410001,1.234,204.671005,17.15099907,UnderBaked,Delishus_NB_75
1693405,2015-05-12 17:07:19,58.362999,0.407,0.812,201.718002,19.72999954,Over dia,Delishus_NB_75
1693406,2015-05-12 17:07:19,56.729,0.573,0.885,276.876007,34.5909996,GoodBiscuit,Delishus_NB_75
1693407,2015-05-12 17:07:20,60.554001,0.768,0.826,361.161011,16.72599983,Over dia,Delishus_NB_75
1693408,2015-05-12 17:07:20,57.541,0.156,0.633,222.117996,23.60499954,GoodBiscuit,Delishus_NB_75
1693409,2015-05-12 17:07:20,58.248001,0.669,0.78,372.43399,26.44099998,Over dia,Delishus_NB_75
1693410,2015-05-12 17:07:20,51.757,0.658,0.808,102.537003,45.81700134,GoodBiscuit,Delishus_NB_75
1693411,2015-05-12 17:07:21,58.703999,0.525,0.601,280.231995,29.33799934,Over dia,Delishus_NB_75
1693412,2015-05-12 17:07:21,58.492001,0.598,1.075,167.628998,20.68499947,Over dia,Delishus_NB_75
1693413,2015-05-12 17:07:21,57.855999,1.138,1.137,232.184006,24.17499924,GoodBiscuit,Delishus_NB_75
1693414,2015-05-12 17:07:21,57.151001,0.701,1.021,151.658005,18.32900047,UnderBaked,Delishus_NB_75
1693415,2015-05-12 17:07:21,59.374001,0.506,0.971,336.196991,14.56499958,Over dia,Delishus_NB_75
1693416,2015-05-12 17:07:22,57.91,0.49,0.618,234.867996,25.67300034,GoodBiscuit,Delishus_NB_75
1693417,2015-05-12 17:07:22,57.564999,0.651,0.717,150.182007,12.93299961,UnderBaked,Delishus_NB_75
1693418,2015-05-12 17:07:22,58.146999,1.1799999,1.298,325.325989,15.27900028,Over dia,Delishus_NB_75
1693419,2015-05-12 17:07:22,57.442001,1.301,1.365,212.455002,34.92599869,GoodBiscuit,Delishus_NB_75
1693420,2015-05-12 17:07:22,59.415001,0.273,0.452,235.539001,23.43099976,Over dia,Delishus_NB_75
1693421,2015-05-12 17:07:23,57.513,0.466,1.155,184.136993,31.01600075,GoodBiscuit,Delishus_NB_75
1693422,2015-05-12 17:07:23,57.794998,0.691,0.658,316.467987,29.92900085,GoodBiscuit,Delishus_NB_75
1693423,2015-05-12 17:07:23,56.721001,0.331,0.75,206.817993,25.9470005,GoodBiscuit,Delishus_NB_75
1693424,2015-05-12 17:07:23,58.166,0.274,0.941,245.470993,16.57299995,Over dia,Delishus_NB_75
1693425,2015-05-12 17:07:23,58.183998,0.822,0.753,222.654999,24.26000023,Over dia,Delishus_NB_75
1693426,2015-05-12 17:07:24,57.889999,0.473,1.044,139.311005,17.05200005,UnderBaked,Delishus_NB_75
1693427,2015-05-12 17:07:24,57.902,1.061,0.989,213.662994,13.68900013,UnderBaked,Delishus_NB_75
1693428,2015-05-12 17:07:24,59.909,0.707,0.96,237.016006,28.2840004,Over dia,Delishus_NB_75
