cookieId,Date,Diameter,Ovality,Cutsize,AlmondArea,BakeMeasure,DefectType,cookietype
1664776,2015-05-11 21:44:54,56.846001,0.867,0.752,117.433998,79.63300323,OverBaked,DelishusNR75
1664777,2015-05-11 21:45:50,54.479,1.133,0.484,71.8030014,78.20300293,OverBaked,DelishusNR75
1664778,2015-05-11 21:45:50,54.042,0.377,0.43,132.600006,40.92399979,GoodBiscuit,DelishusNR75
1664779,2015-05-11 21:45:50,56.971001,4.9699998,3.141,90.4580002,45.38199997,Oval biscuit,DelishusNR75
1664780,2015-05-11 21:45:51,55.905998,0.797,0.897,147.229004,36.56200027,GoodBiscuit,DelishusNR75
1664781,2015-05-11 21:45:51,54.323002,0.472,0.343,75.6949997,44.64899826,GoodBiscuit,DelishusNR75
1664782,2015-05-11 21:45:51,54.348999,1.0880001,0.877,82.9420013,42.38100052,GoodBiscuit,DelishusNR75
1664783,2015-05-11 21:45:51,54.209,0.585,0.72,113.274002,34.92900085,GoodBiscuit,DelishusNR75
1664784,2015-05-11 21:45:51,55.617001,0.893,0.567,55.5629997,46.9980011,LessAlmond,DelishusNR75
1664785,2015-05-11 21:45:52,55.345001,1.206,1.533,40.2630005,51.71099854,LessAlmond,DelishusNR75
1664786,2015-05-11 21:45:52,53.555,0.244,0.543,99.7180023,43.61199951,GoodBiscuit,DelishusNR75
1664787,2015-05-11 21:45:52,54.183998,1.272,0.378,115.017998,38.9280014,GoodBiscuit,DelishusNR75
1664788,2015-05-11 21:45:52,54.633999,0.677,0.563,52.6110001,48.58000183,LessAlmond,DelishusNR75
1664789,2015-05-11 21:45:52,55.144001,0.791,0.691,110.723999,47.0870018,GoodBiscuit,DelishusNR75
1664790,2015-05-11 21:45:53,54.618,0.359,2.283,20.6679993,47.37599945,LessAlmond,DelishusNR75
1664791,2015-05-11 21:45:53,54.889999,0.361,0.754,63.75,43.69400024,GoodBiscuit,DelishusNR75
1664792,2015-05-11 21:45:53,54.695,0.501,0.949,122.533997,43.17100143,GoodBiscuit,DelishusNR75
1664793,2015-05-11 21:45:53,54.448002,0.24,1.072,102.134003,42.75799942,GoodBiscuit,DelishusNR75
1664794,2015-05-11 21:45:53,54.529999,1.011,0.608,90.8610001,37.0019989,GoodBiscuit,DelishusNR75
1664795,2015-05-11 21:45:54,53.886002,0.511,0.603,39.0550003,33.01499939,LessAlmond,DelishusNR75
1664796,2015-05-11 21:45:54,55.676998,0.453,0.82,101.597,45.49399948,GoodBiscuit,DelishusNR75
1664797,2015-05-11 21:45:54,53.886002,0.728,0.433,44.1549988,51.34999847,LessAlmond,DelishusNR75
1664798,2015-05-11 21:45:54,54.661999,1.053,1.296,143.337006,46.44300079,GoodBiscuit,DelishusNR75
1664799,2015-05-11 21:45:55,54.985001,0.8,0.944,134.345001,43.1609993,GoodBiscuit,DelishusNR75
1664800,2015-05-11 21:45:55,56.550999,2.9779999,3.0550001,85.7610016,39.18799973,GoodBiscuit,DelishusNR75
1664801,2015-05-11 21:45:55,54.195999,0.552,0.842,141.860992,43.74000168,GoodBiscuit,DelishusNR75
1664802,2015-05-11 21:45:55,54.823002,1.217,0.37,53.9529991,42.35699844,LessAlmond,DelishusNR75
1664803,2015-05-11 21:45:55,54.453999,0.962,0.471,118.238998,31.98800087,GoodBiscuit,DelishusNR75
1664804,2015-05-11 21:45:56,54.069,0.539,0.907,102.134003,32.54899979,GoodBiscuit,DelishusNR75
1664805,2015-05-11 21:45:56,56.220001,0.76,0.383,234.063004,35.5,GoodBiscuit,DelishusNR75
1664806,2015-05-11 21:45:56,55.916,1.248,0.654,158.636993,32.00400162,GoodBiscuit,DelishusNR75
1664807,2015-05-11 21:45:56,53.917999,0.089,0.525,19.3260002,47.20000076,LessAlmond,DelishusNR75
1664808,2015-05-11 21:45:57,54.605999,0.551,1.0880001,46.4370003,35.40399933,LessAlmond,DelishusNR75
1664809,2015-05-11 21:45:57,54.819,0.355,0.374,116.495003,28.84600067,GoodBiscuit,DelishusNR75
1664810,2015-05-11 21:45:57,67.300003,16.981001,2.546,207.891998,42.5890007,Over dia,DelishusNR75
1664811,2015-05-11 21:45:57,54.783001,0.412,1.399,120.252998,26.30500031,GoodBiscuit,DelishusNR75
1664812,2015-05-11 21:45:57,53.735001,0.726,0.514,71.6679993,51.12799835,GoodBiscuit,DelishusNR75
1664813,2015-05-11 21:45:58,54.606998,0.924,1.383,29.7950001,29.75300026,LessAlmond,DelishusNR75
1664814,2015-05-11 21:45:58,54.338001,0.384,0.503,48.3160019,31.12400055,LessAlmond,DelishusNR75
1664815,2015-05-11 21:45:58,54.627998,0.762,1.431,182.123993,46.67300034,GoodBiscuit,DelishusNR75
1664816,2015-05-11 21:45:58,55.035,0.633,0.704,47.9129982,33.69499969,LessAlmond,DelishusNR75
1664817,2015-05-11 21:45:58,54.610001,0.87,0.645,104.013,40.18299866,GoodBiscuit,DelishusNR75
1664818,2015-05-11 21:45:59,55.032001,0.66,0.678,94.2160034,26.25799942,GoodBiscuit,DelishusNR75
1664819,2015-05-11 21:45:59,55.497002,0.43,0.571,163.602997,37.59899902,GoodBiscuit,DelishusNR75
1664820,2015-05-11 21:45:59,55.93,0.352,0.843,90.0550003,24.14299965,GoodBiscuit,DelishusNR75
1664821,2015-05-11 21:45:59,64.876999,13.48,2.654,90.8610001,29.91900063,Over dia,DelishusNR75
1664822,2015-05-11 21:46:00,54.208,0.605,1.035,64.9580002,46.63100052,GoodBiscuit,DelishusNR75
1664823,2015-05-11 21:46:00,54.639999,1.2029999,0.525,139.578995,33.29700089,GoodBiscuit,DelishusNR75
1664824,2015-05-11 21:46:00,54.755001,0.218,0.484,106.294998,49.81900024,GoodBiscuit,DelishusNR75
1664825,2015-05-11 21:46:00,54.644001,0.812,0.81,53.0130005,28.54800034,LessAlmond,DelishusNR75
1664826,2015-05-11 21:46:00,54.305,0.724,0.52,103.475998,32.45899963,GoodBiscuit,DelishusNR75
1664827,2015-05-11 21:46:01,54.894001,0.557,1.105,168.300003,39.92399979,GoodBiscuit,DelishusNR75
1664828,2015-05-11 21:46:01,54.261002,0.504,0.381,57.8450012,32.44900131,LessAlmond,DelishusNR75
1664829,2015-05-11 21:46:01,54.863998,0.312,0.563,89.1159973,28.375,GoodBiscuit,DelishusNR75
1664830,2015-05-11 21:46:01,55.756001,0.692,0.995,46.3030014,39.78300095,LessAlmond,DelishusNR75
1664831,2015-05-11 21:46:01,66.218002,16.879999,3.1370001,36.5050011,54.45299911,Over dia,DelishusNR75
1664832,2015-05-11 21:46:02,54.120998,0.619,0.86,64.2870026,31.82600021,GoodBiscuit,DelishusNR75
1664833,2015-05-11 21:46:02,54.801998,0.311,0.449,39.3240013,36.30199814,LessAlmond,DelishusNR75
1664834,2015-05-11 21:46:02,54.535999,0.833,0.737,54.2210007,32.65800095,LessAlmond,DelishusNR75
1664835,2015-05-11 21:46:02,54.189999,0.948,0.432,125.621002,45.57500076,GoodBiscuit,DelishusNR75
1664836,2015-05-11 21:46:03,55.282001,0.909,0.914,65.6289978,46.49000168,GoodBiscuit,DelishusNR75
1664837,2015-05-11 21:46:03,55.001999,0.166,0.58,193.800003,37.27299881,GoodBiscuit,DelishusNR75
1664838,2015-05-11 21:46:03,54.756001,1.0319999,1.885,115.420998,34.51300049,GoodBiscuit,DelishusNR75
1664839,2015-05-11 21:46:03,54.669998,0.23,0.493,38.1160011,29.81299973,LessAlmond,DelishusNR75
1664840,2015-05-11 21:46:03,54.868,0.766,0.725,174.876007,35.97800064,GoodBiscuit,DelishusNR75
1664841,2015-05-11 21:46:04,55.030998,0.207,0.681,78.9160004,44.34899902,GoodBiscuit,DelishusNR75
1664842,2015-05-11 21:46:04,64.830002,15.016,2.0280001,140.787003,48.95500183,Over dia,DelishusNR75
1664843,2015-05-11 21:46:04,54.986,0.486,0.826,182.794998,47.56399918,GoodBiscuit,DelishusNR75
1664844,2015-05-11 21:46:04,54.91,1.498,1.598,138.908005,34.87900162,GoodBiscuit,DelishusNR75
1664845,2015-05-11 21:46:04,55.361,0.515,0.599,108.978996,43.29000092,GoodBiscuit,DelishusNR75
1664846,2015-05-11 21:46:05,54.362,1.267,0.561,90.7259979,47.97999954,GoodBiscuit,DelishusNR75
1664847,2015-05-11 21:46:05,54.942001,1.0319999,0.89,78.5130005,43.83599854,GoodBiscuit,DelishusNR75
1664848,2015-05-11 21:46:05,53.459999,2.109,0.581,38.7869987,41.30400085,LessAlmond,DelishusNR75
1664849,2015-05-11 21:46:05,54.880001,0.881,2.6199999,87.6389999,42.71300125,GoodBiscuit,DelishusNR75
1664850,2015-05-11 21:46:06,55.103001,0.789,0.468,11.2740002,39.06900024,LessAlmond,DelishusNR75
1664851,2015-05-11 21:46:06,55.027,0.602,1.654,150.718002,46.31499863,GoodBiscuit,DelishusNR75
1664852,2015-05-11 21:46:06,60.139,7.8410001,2.5420001,145.483994,35.17200089,Over dia,DelishusNR75
1664853,2015-05-11 21:46:06,54.779999,0.825,0.689,76.2320023,41.34000015,GoodBiscuit,DelishusNR75
1664854,2015-05-11 21:46:06,54.676998,0.571,0.418,175.815994,38.54999924,GoodBiscuit,DelishusNR75
1664855,2015-05-11 21:46:07,54.848999,1.131,1.184,114.884003,41.88999939,GoodBiscuit,DelishusNR75
1664856,2015-05-11 21:46:07,54.937,0.912,0.478,133.673996,32.4109993,GoodBiscuit,DelishusNR75
1664857,2015-05-11 21:46:07,54.827999,0.704,1.095,57.7109985,36.49900055,LessAlmond,DelishusNR75
1664858,2015-05-11 21:46:07,54.919998,0.848,1.036,103.342003,43.71500015,GoodBiscuit,DelishusNR75
1664859,2015-05-11 21:46:07,55.027,0.734,0.583,77.439003,31.14299965,GoodBiscuit,DelishusNR75
1664860,2015-05-11 21:46:08,54.151001,1.082,0.388,70.3259964,42.31399918,GoodBiscuit,DelishusNR75
1664861,2015-05-11 21:46:08,54.786999,0.718,1.2869999,82.8079987,43,GoodBiscuit,DelishusNR75
1664862,2015-05-11 21:46:08,54.912998,1.161,0.712,128.841995,34.14799881,GoodBiscuit,DelishusNR75
1664863,2015-05-11 21:46:08,55.863998,1.313,0.552,17.4470005,43.02700043,LessAlmond,DelishusNR75
1664864,2015-05-11 21:46:09,55.119999,1.061,1.7640001,53.4160004,38.58000183,LessAlmond,DelishusNR75
1664865,2015-05-11 21:46:09,53.354,0.693,0.739,64.1529999,45.43500137,GoodBiscuit,DelishusNR75
1664866,2015-05-11 21:46:09,55.049,0.74,0.724,115.153,42.20199966,GoodBiscuit,DelishusNR75
1664867,2015-05-11 21:46:09,55.077999,0.652,0.406,78.1110001,37.38600159,GoodBiscuit,DelishusNR75
1664868,2015-05-11 21:46:09,55.562,0.967,1.388,44.4239998,46.59199905,LessAlmond,DelishusNR75
1664869,2015-05-11 21:46:10,54.131001,1.216,0.562,90.7259979,50.35499954,GoodBiscuit,DelishusNR75
1664870,2015-05-11 21:46:10,54.57,1.133,0.578,135.820999,41.05199814,GoodBiscuit,DelishusNR75
1664871,2015-05-11 21:46:10,53.146999,0.436,0.476,119.179001,35.15800095,GoodBiscuit,DelishusNR75
1664872,2015-05-11 21:46:10,54.070999,0.42,1.0140001,84.8209991,36.38100052,GoodBiscuit,DelishusNR75
1664873,2015-05-11 21:46:10,56.199001,1.686,2.7509999,103.611,44.06600189,GoodBiscuit,DelishusNR75
1664874,2015-05-11 21:46:11,55.158001,0.752,0.798,99.8529968,34.90399933,GoodBiscuit,DelishusNR75
1664875,2015-05-11 21:46:11,53.591999,1.003,1.349,81.1969986,42.22800064,GoodBiscuit,DelishusNR75
1664876,2015-05-11 21:46:11,54.044998,0.424,1.097,9.66300011,36.43799973,LessAlmond,DelishusNR75
1664877,2015-05-11 21:46:11,54.688,0.48,0.414,123.070999,42.41999817,GoodBiscuit,DelishusNR75
1664878,2015-05-11 21:46:11,53.856998,0.518,0.565,87.2369995,47.3370018,GoodBiscuit,DelishusNR75
1664879,2015-05-11 21:46:12,54.118,0.389,0.986,53.1469994,40.79800034,LessAlmond,DelishusNR75
1664880,2015-05-11 21:46:12,55.445,0.961,0.35,162.395004,40.16199875,GoodBiscuit,DelishusNR75
1664881,2015-05-11 21:46:12,52.317001,0.903,0.48,85.223999,47.50999832,GoodBiscuit,DelishusNR75
1664882,2015-05-11 21:46:12,54.818001,1.215,0.421,113.810997,41.07400131,GoodBiscuit,DelishusNR75
1664883,2015-05-11 21:46:13,68.336998,17.955,2.4920001,152.865997,42.30899811,Over dia,DelishusNR75
1664884,2015-05-11 21:46:13,55.27,1.568,0.556,42.9469986,36.70999908,LessAlmond,DelishusNR75
1664885,2015-05-11 21:46:13,53.958,0.976,0.455,37.8470001,42.47100067,LessAlmond,DelishusNR75
1664886,2015-05-11 21:46:13,55.240002,0.608,0.461,66.0319977,46.04700089,GoodBiscuit,DelishusNR75
1664887,2015-05-11 21:46:13,53.155998,0.761,0.552,56.2340012,42.37200165,LessAlmond,DelishusNR75
1664888,2015-05-11 21:46:14,54.244999,1.206,0.429,49.7919998,45.84600067,LessAlmond,DelishusNR75
1664889,2015-05-11 21:46:14,54.046001,0.691,0.634,40.5320015,32.47399902,LessAlmond,DelishusNR75
1664890,2015-05-11 21:46:14,54.661999,1.3890001,1.9960001,65.4950027,39.08399963,GoodBiscuit,DelishusNR75
1664891,2015-05-11 21:46:14,54.541,1.501,0.805,87.6389999,39.4659996,GoodBiscuit,DelishusNR75
1664892,2015-05-11 21:46:15,53.245998,0.608,0.592,133.673996,45.98099899,GoodBiscuit,DelishusNR75
1664893,2015-05-11 21:46:15,54.160999,1.3329999,0.749,36.5050011,49.4980011,LessAlmond,DelishusNR75
1664894,2015-05-11 21:46:15,63.037998,12.001,2.668,131.929001,47.6269989,Over dia,DelishusNR75
1664895,2015-05-11 21:46:15,53.396999,0.922,1.464,69.9240036,41.43799973,GoodBiscuit,DelishusNR75
1664896,2015-05-11 21:46:15,54.516998,1.007,0.518,37.1759987,41.49499893,LessAlmond,DelishusNR75
1664897,2015-05-11 21:46:16,53.325001,1.171,0.475,48.9869995,51.76900101,LessAlmond,DelishusNR75
1664898,2015-05-11 21:46:16,53.327,0.894,0.543,43.887001,46.01399994,LessAlmond,DelishusNR75
1664899,2015-05-11 21:46:16,53.901001,0.681,0.617,230.438995,37.57799911,GoodBiscuit,DelishusNR75
1664900,2015-05-11 21:46:16,55.215,1.166,0.776,20.132,38.73099899,LessAlmond,DelishusNR75
1664901,2015-05-11 21:46:16,54.493999,0.192,0.94,35.4319992,31.18199921,LessAlmond,DelishusNR75
1664902,2015-05-11 21:46:17,56.417,0.953,0.534,208.697006,47.91600037,GoodBiscuit,DelishusNR75
1664903,2015-05-11 21:46:17,55.902,0.852,0.441,164.675995,43.93700027,GoodBiscuit,DelishusNR75
1664904,2015-05-11 21:46:17,66.468002,15.548,2.348,41.7389984,53.7519989,Over dia,DelishusNR75
1664905,2015-05-11 21:46:17,54.025002,0.767,1.041,56.7709999,45.90800095,LessAlmond,DelishusNR75
1664906,2015-05-11 21:46:18,54.910999,1.3099999,0.45,31.0030003,49.19900131,LessAlmond,DelishusNR75
1664907,2015-05-11 21:46:18,54.589001,0.878,0.441,101.060997,46.43500137,GoodBiscuit,DelishusNR75
1664908,2015-05-11 21:46:18,53.972,1.2869999,0.494,64.1529999,47.23500061,GoodBiscuit,DelishusNR75
1664909,2015-05-11 21:46:18,52.859001,0.906,1.2,112.602997,39.16199875,GoodBiscuit,DelishusNR75
1664910,2015-05-11 21:46:18,55.386002,0.734,0.639,32.2109985,39.36299896,LessAlmond,DelishusNR75
1664911,2015-05-11 21:46:19,55.099998,1.404,0.395,58.382,48.25400162,LessAlmond,DelishusNR75
1664912,2015-05-11 21:46:19,53.52,0.964,0.378,69.2529984,45.86500168,GoodBiscuit,DelishusNR75
1664913,2015-05-11 21:46:19,54.298,0.75,0.419,54.0870018,42.35499954,LessAlmond,DelishusNR75
1664914,2015-05-11 21:46:19,54.231998,1.36,0.371,95.8259964,48.07699966,GoodBiscuit,DelishusNR75
1664915,2015-05-11 21:46:19,64.957001,13.544,2.4660001,87.3710022,55.61999893,Over dia,DelishusNR75
1664916,2015-05-11 21:46:20,53.387001,0.605,0.407,159.710999,51.68399811,GoodBiscuit,DelishusNR75
1664917,2015-05-11 21:46:20,54.613998,0.819,1.479,65.8970032,52.97499847,GoodBiscuit,DelishusNR75
1664918,2015-05-11 21:46:20,53.199001,1.3200001,0.428,9.52900028,53.68500137,LessAlmond,DelishusNR75
1664919,2015-05-11 21:46:20,54.752998,1.238,0.413,136.358002,37.56900024,GoodBiscuit,DelishusNR75
1664920,2015-05-11 21:46:21,55.080002,1.985,0.499,108.442001,49.18299866,GoodBiscuit,DelishusNR75
1664921,2015-05-11 21:46:21,56.241001,1.385,0.444,145.216003,36.1590004,GoodBiscuit,DelishusNR75
1664922,2015-05-11 21:46:21,55.082001,0.685,1.179,103.475998,37.45000076,GoodBiscuit,DelishusNR75
1664923,2015-05-11 21:46:21,54.103001,0.845,0.507,98.2419968,37.84000015,GoodBiscuit,DelishusNR75
1664924,2015-05-11 21:46:21,54.485001,1.5190001,0.509,38.6529999,54.0870018,LessAlmond,DelishusNR75
1664925,2015-05-11 21:46:22,64.193001,12.736,2.7179999,204.268005,42.17499924,Over dia,DelishusNR75
1664926,2015-05-11 21:46:22,54.702999,1.024,0.505,28.5869999,43.9070015,LessAlmond,DelishusNR75
1664927,2015-05-11 21:46:22,54.439999,1.671,0.347,112.871002,34.92399979,GoodBiscuit,DelishusNR75
1664928,2015-05-11 21:46:22,52.667,0.435,0.617,10.7370005,52.74700165,LessAlmond,DelishusNR75
1664929,2015-05-11 21:46:22,53.851002,1.2309999,0.554,57.3079987,48.96300125,LessAlmond,DelishusNR75
1664930,2015-05-11 21:46:23,55.206001,0.872,0.702,81.0630035,38.99900055,GoodBiscuit,DelishusNR75
1664931,2015-05-11 21:46:23,54.023998,0.849,0.535,82.6740036,42.20600128,GoodBiscuit,DelishusNR75
1664932,2015-05-11 21:46:23,52.705002,1.122,0.438,56.0999985,43.68000031,LessAlmond,DelishusNR75
1664933,2015-05-11 21:46:23,54.235001,1.145,0.458,71.1320038,43.46099854,GoodBiscuit,DelishusNR75
1664934,2015-05-11 21:46:24,55.810001,1.507,0.615,129.378998,40.06200027,GoodBiscuit,DelishusNR75
1664935,2015-05-11 21:46:24,54.042,0.985,0.553,85.4919968,36.89300156,GoodBiscuit,DelishusNR75
1664936,2015-05-11 21:46:24,54.348,1.729,1.585,36.6389999,44.88800049,LessAlmond,DelishusNR75
1664937,2015-05-11 21:46:24,53.334999,1.277,0.425,68.8499985,47.54100037,GoodBiscuit,DelishusNR75
1664938,2015-05-11 21:46:24,53.516998,1.081,0.524,67.9110031,46.6269989,GoodBiscuit,DelishusNR75
1664939,2015-05-11 21:46:25,53.950001,1.523,0.588,18.9239998,46.6629982,LessAlmond,DelishusNR75
1664940,2015-05-11 21:46:25,53.674999,1.1440001,0.602,19.3260002,50.45999908,LessAlmond,DelishusNR75
1664941,2015-05-11 21:46:25,55.075001,0.683,0.673,159.710999,37.97600174,GoodBiscuit,DelishusNR75
1664942,2015-05-11 21:46:25,54.098,0.549,0.467,17.3129997,44.75699997,LessAlmond,DelishusNR75
1664943,2015-05-11 21:46:25,53.681,1.742,0.622,85.4919968,46.25899887,GoodBiscuit,DelishusNR75
1664944,2015-05-11 21:46:26,53.611,0.059,0.417,60.6629982,44.81700134,GoodBiscuit,DelishusNR75
1664945,2015-05-11 21:46:26,54.657001,0.669,0.624,32.612999,43.75799942,LessAlmond,DelishusNR75
1664946,2015-05-11 21:46:26,56.446999,3.73,2.533,86.4319992,39.44599915,GoodBiscuit,DelishusNR75
1664947,2015-05-11 21:46:26,56.450001,0.972,0.367,80.6610031,36.27799988,GoodBiscuit,DelishusNR75
1664948,2015-05-11 21:46:27,54.646,1.666,0.644,52.4760017,40.37599945,LessAlmond,DelishusNR75
1664949,2015-05-11 21:46:27,56.363998,1.036,0.483,161.455002,40.80099869,GoodBiscuit,DelishusNR75
1664950,2015-05-11 21:46:27,54.617001,1.209,0.536,181.184006,35.34000015,GoodBiscuit,DelishusNR75
1664951,2015-05-11 21:46:27,54.421001,0.865,0.457,90.4580002,40.99599838,GoodBiscuit,DelishusNR75
1664952,2015-05-11 21:46:27,54.09,0.751,0.858,91.9339981,36.17499924,GoodBiscuit,DelishusNR75
1664953,2015-05-11 21:46:28,55.277,1.544,0.452,25.3659992,39.81900024,LessAlmond,DelishusNR75
1664954,2015-05-11 21:46:28,53.521999,0.695,0.425,73.0110016,47.00600052,GoodBiscuit,DelishusNR75
1664955,2015-05-11 21:46:28,55.481998,1.1849999,0.664,95.2890015,33.51300049,GoodBiscuit,DelishusNR75
1664956,2015-05-11 21:46:28,55.362999,1.808,0.703,51.2680016,48.58200073,LessAlmond,DelishusNR75
1664957,2015-05-11 21:46:28,52.757,0.443,0.498,45.632,50.1230011,LessAlmond,DelishusNR75
1664958,2015-05-11 21:46:29,55.534,1.013,0.537,51.4029999,45.84500122,LessAlmond,DelishusNR75
1664959,2015-05-11 21:46:29,55.916,1.3710001,0.36,57.5760002,52.12599945,LessAlmond,DelishusNR75
1664960,2015-05-11 21:46:29,55.333,0.361,0.514,23.3530006,54.00500107,LessAlmond,DelishusNR75
1664961,2015-05-11 21:46:29,51.694,1.367,0.406,29.3920002,48.29800034,LessAlmond,DelishusNR75
1664962,2015-05-11 21:46:30,54.597,0.711,0.522,59.4550018,44.50099945,LessAlmond,DelishusNR75
1664963,2015-05-11 21:46:30,49.562,0.614,3.0339999,71.1320038,59.74700165,Under dia,DelishusNR75
1664964,2015-05-11 21:46:30,52.978001,0.599,0.395,227.621002,39.68500137,GoodBiscuit,DelishusNR75
1664965,2015-05-11 21:46:30,54.793999,1.745,0.579,73.0110016,41.51800156,GoodBiscuit,DelishusNR75
1664966,2015-05-11 21:46:30,52.728001,0.501,0.404,18.5209999,49.75799942,LessAlmond,DelishusNR75
1664967,2015-05-11 21:46:31,58.800999,3.9549999,2.2620001,133.404999,36.62099838,Over dia,DelishusNR75
1664968,2015-05-11 21:46:31,55.495998,0.62,0.637,160.382004,34.92399979,GoodBiscuit,DelishusNR75
1664969,2015-05-11 21:46:31,55.636002,1.471,0.78,181.317993,47.69400024,GoodBiscuit,DelishusNR75
1664970,2015-05-11 21:46:31,53.310001,0.762,0.482,79.8550034,43.02199936,GoodBiscuit,DelishusNR75
1664971,2015-05-11 21:46:31,55.101002,0.889,1.024,105.624001,32.70299911,GoodBiscuit,DelishusNR75
1664972,2015-05-11 21:46:32,53.862999,1.396,0.61,129.110992,40.65100098,GoodBiscuit,DelishusNR75
1664973,2015-05-11 21:46:32,54.631001,1.5190001,0.653,27.3789997,36.43700027,LessAlmond,DelishusNR75
1664974,2015-05-11 21:46:32,56.119999,0.969,0.441,156.623993,42.77899933,GoodBiscuit,DelishusNR75
1664975,2015-05-11 21:46:32,52.883999,0.935,0.392,20.9370003,51.34199905,LessAlmond,DelishusNR75
1664976,2015-05-11 21:46:33,55.033001,1.698,0.401,86.9680023,43.70100021,GoodBiscuit,DelishusNR75
1664977,2015-05-11 21:46:33,66.912003,15.473,2.7639999,161.858002,43.92900085,Over dia,DelishusNR75
1664978,2015-05-11 21:46:33,56.333,0.75,0.373,49.7919998,34.45899963,LessAlmond,DelishusNR75
1664979,2015-05-11 21:46:33,55.136002,1.022,0.399,172.996994,50.54899979,GoodBiscuit,DelishusNR75
