cookieId,Date,Diameter,Ovality,Cutsize,AlmondArea,BakeMeasure,DefectType,cookietype
1841311,2015-05-13 16:00:00,52.583,1.175,0,194.337006,57.38199997,GoodBiscuit,Delishus_NB_75
1841312,2015-05-13 16:00:00,52.847,1.534,0,182.257996,50.2159996,GoodBiscuit,Delishus_NB_75
1841313,2015-05-13 16:00:00,53.542999,1.6160001,0,262.783997,33.97299957,GoodBiscuit,Delishus_NB_75
1841314,2015-05-13 16:00:00,56.237,1.136,0,253.389008,59.11199951,GoodBiscuit,Delishus_NB_75
1841315,2015-05-13 16:00:00,54.285,0.927,0,162.796997,55.08100128,GoodBiscuit,Delishus_NB_75
1841316,2015-05-13 16:00:01,53.639999,0.872,0,286.941986,46.52099991,GoodBiscuit,Delishus_NB_75
1841317,2015-05-13 16:00:01,53.631001,1.589,0,360.623993,44.29199982,GoodBiscuit,Delishus_NB_75
1841318,2015-05-13 16:00:01,53.890999,0.701,0,197.423996,56.2159996,GoodBiscuit,Delishus_NB_75
1841319,2015-05-13 16:00:01,52.341999,1.094,0,275.937012,43.80899811,GoodBiscuit,Delishus_NB_75
1841320,2015-05-13 16:00:01,54.897999,0.211,0,192.054993,53.62099838,GoodBiscuit,Delishus_NB_75
1841321,2015-05-13 16:00:02,53.381001,1.748,0,208.294998,54.22100067,GoodBiscuit,Delishus_NB_75
1841322,2015-05-13 16:00:02,53.526001,1.628,0,281.574005,46.40800095,GoodBiscuit,Delishus_NB_75
1841323,2015-05-13 16:00:02,54.752998,0.611,0,286.539001,51.54299927,GoodBiscuit,Delishus_NB_75
1841324,2015-05-13 16:00:02,53.669998,1.307,0,353.376007,52.69300079,GoodBiscuit,Delishus_NB_75
1841325,2015-05-13 16:00:02,53.576,0.748,0,298.484009,44.08800125,GoodBiscuit,Delishus_NB_75
1841326,2015-05-13 16:00:03,55.905998,0.755,0,267.615997,57.74900055,GoodBiscuit,Delishus_NB_75
1841327,2015-05-13 16:00:03,55.213001,0.673,0,241.981995,55.10300064,GoodBiscuit,Delishus_NB_75
1841328,2015-05-13 16:00:03,53.824001,1.22,0,324.924011,42.42499924,GoodBiscuit,Delishus_NB_75
1841329,2015-05-13 16:00:03,53.210999,0.795,0,262.515991,50.49700165,GoodBiscuit,Delishus_NB_75
1841330,2015-05-13 16:00:03,52.445,1.5880001,0,197.960999,58.5,GoodBiscuit,Delishus_NB_75
1841331,2015-05-13 16:00:03,53.969002,0.427,0,172.057999,49.46300125,GoodBiscuit,Delishus_NB_75
1841332,2015-05-13 16:00:04,52.702999,1.0039999,0,145.753006,50.41699982,GoodBiscuit,Delishus_NB_75
1841333,2015-05-13 16:00:04,55.959999,0.984,0,196.483994,54.93600082,GoodBiscuit,Delishus_NB_75
1841334,2015-05-13 16:00:04,53.476002,0.935,0,263.187012,49.6230011,GoodBiscuit,Delishus_NB_75
1841335,2015-05-13 16:00:04,54.386002,0.974,0,254.195007,54.56200027,GoodBiscuit,Delishus_NB_75
1841336,2015-05-13 16:00:04,54.778999,0.548,0,220.238998,60.69300079,GoodBiscuit,Delishus_NB_75
1841337,2015-05-13 16:00:05,52.731998,1.151,0,197.557999,45.20999908,GoodBiscuit,Delishus_NB_75
1841338,2015-05-13 16:00:05,51.311001,0.807,0,117.703003,50.40499878,GoodBiscuit,Delishus_NB_75
1841339,2015-05-13 16:00:05,55.146999,0.319,0,215.139008,49.81100082,GoodBiscuit,Delishus_NB_75
1841340,2015-05-13 16:00:05,53.033001,1.255,0,313.247009,48.09899902,GoodBiscuit,Delishus_NB_75
1841341,2015-05-13 16:00:05,52.585999,1.472,0,280.365997,55.9129982,GoodBiscuit,Delishus_NB_75
1841342,2015-05-13 16:00:06,50.936001,0.883,0,94.0820007,42.80599976,Under dia,Delishus_NB_75
1841343,2015-05-13 16:00:06,53.886002,0.286,0,404.376007,43.46699905,GoodBiscuit,Delishus_NB_75
1841344,2015-05-13 16:00:06,51.27,0.388,0,258.355011,57.79899979,GoodBiscuit,Delishus_NB_75
1841345,2015-05-13 16:00:06,53.265999,1.205,0,238.492004,43.43399811,GoodBiscuit,Delishus_NB_75
1841346,2015-05-13 16:00:06,53.735001,0.463,0,223.057999,58.9679985,GoodBiscuit,Delishus_NB_75
1841347,2015-05-13 16:00:07,54.150002,0.52,0,239.699997,62.11500168,GoodBiscuit,Delishus_NB_75
1841348,2015-05-13 16:00:07,55.047001,0.368,0,345.324005,60.98500061,GoodBiscuit,Delishus_NB_75
1841349,2015-05-13 16:00:07,51.412998,1.178,0,146.826004,58.16699982,GoodBiscuit,Delishus_NB_75
1841350,2015-05-13 16:00:07,53.570999,1.414,0,268.153015,48.64799881,GoodBiscuit,Delishus_NB_75
1841351,2015-05-13 16:00:07,54.841,0.626,0,293.25,49.19499969,GoodBiscuit,Delishus_NB_75
1841352,2015-05-13 16:00:08,53.063,0.977,0,269.226013,45.12099838,GoodBiscuit,Delishus_NB_75
1841353,2015-05-13 16:00:08,52.917999,0.781,0,179.171005,41.83399963,GoodBiscuit,Delishus_NB_75
1841354,2015-05-13 16:00:08,54.087002,0.611,0,202.524002,54.59199905,GoodBiscuit,Delishus_NB_75
1841355,2015-05-13 16:00:08,52.497002,1.793,0,405.717987,45.58399963,GoodBiscuit,Delishus_NB_75
1841356,2015-05-13 16:00:08,53.056999,2.2019999,0,229.231995,49.53699875,GoodBiscuit,Delishus_NB_75
1841357,2015-05-13 16:00:08,54.046001,0.327,0,252.315994,53.13000107,GoodBiscuit,Delishus_NB_75
1841358,2015-05-13 16:00:09,55.303001,0.789,0,239.834,60.18299866,GoodBiscuit,Delishus_NB_75
1841359,2015-05-13 16:00:09,53.402,1.388,0,96.2289963,48.62400055,GoodBiscuit,Delishus_NB_75
1841360,2015-05-13 16:00:09,52.933998,0.455,0,153,47.15299988,GoodBiscuit,Delishus_NB_75
1841361,2015-05-13 16:00:09,54.543999,1.397,0,256.476013,40.69599915,GoodBiscuit,Delishus_NB_75
1841362,2015-05-13 16:00:09,55.706001,1.131,0,229.903,52.14099884,GoodBiscuit,Delishus_NB_75
1841363,2015-05-13 16:00:10,52.681,1.01,0,212.052994,46.27099991,GoodBiscuit,Delishus_NB_75
1841364,2015-05-13 16:00:10,53.785999,0.938,0,283.049988,45.53499985,GoodBiscuit,Delishus_NB_75
1841365,2015-05-13 16:00:10,53.327,0.623,0,176.218002,43.14599991,GoodBiscuit,Delishus_NB_75
1841366,2015-05-13 16:00:10,53.862,1.161,0,247.350006,51.43199921,GoodBiscuit,Delishus_NB_75
1841367,2015-05-13 16:00:10,56.331001,0.756,0,357.938995,51.69300079,GoodBiscuit,Delishus_NB_75
1841368,2015-05-13 16:00:11,52.859001,1.456,0,330.963013,39.63199997,GoodBiscuit,Delishus_NB_75
1841369,2015-05-13 16:00:11,54.715,0.293,0,224.266006,55.24599838,GoodBiscuit,Delishus_NB_75
1841370,2015-05-13 16:00:11,53.709,0.183,0,185.210999,52.41199875,GoodBiscuit,Delishus_NB_75
1841371,2015-05-13 16:00:11,53.296001,1.368,0,248.423996,56.19900131,GoodBiscuit,Delishus_NB_75
1841372,2015-05-13 16:00:11,55.113998,0.582,0,215.005005,54.74200058,GoodBiscuit,Delishus_NB_75
1841373,2015-05-13 16:00:12,55.106998,1.226,0,168.703003,59.67100143,GoodBiscuit,Delishus_NB_75
1841374,2015-05-13 16:00:12,54.625,0.847,0,184.942001,52.09999847,GoodBiscuit,Delishus_NB_75
1841375,2015-05-13 16:00:12,54.514,0.847,0,141.860992,34.68199921,GoodBiscuit,Delishus_NB_75
1841376,2015-05-13 16:00:12,57.094002,0.444,0,347.873993,47.3370018,GoodBiscuit,Delishus_NB_75
1841377,2015-05-13 16:00:12,55.587002,0.292,0,189.774002,54.76900101,GoodBiscuit,Delishus_NB_75
1841378,2015-05-13 16:00:13,53.415001,0.945,0,124.413002,48.06100082,GoodBiscuit,Delishus_NB_75
1841379,2015-05-13 16:00:13,55.707001,0.307,0,236.076004,52.75999832,GoodBiscuit,Delishus_NB_75
1841380,2015-05-13 16:00:13,54.75,1.048,0,225.876007,50.16999817,GoodBiscuit,Delishus_NB_75
1841381,2015-05-13 16:00:13,55.471001,1.359,0,421.286987,57.96300125,GoodBiscuit,Delishus_NB_75
1841382,2015-05-13 16:00:13,54.016998,1.6440001,0,310.696991,51.22499847,GoodBiscuit,Delishus_NB_75
1841383,2015-05-13 16:00:14,53.160999,0.388,0,257.817993,46.88700104,GoodBiscuit,Delishus_NB_75
1841384,2015-05-13 16:00:14,54.437,1.1210001,0,282.782013,52.4980011,GoodBiscuit,Delishus_NB_75
1841385,2015-05-13 16:00:14,54.150002,0.934,0,93.1419983,55.70299911,GoodBiscuit,Delishus_NB_75
1841386,2015-05-13 16:00:14,55.749001,0.607,0,353.778992,48.15100098,GoodBiscuit,Delishus_NB_75
1841387,2015-05-13 16:00:14,53.098999,0.781,0,244.263,44.07899857,GoodBiscuit,Delishus_NB_75
1841388,2015-05-13 16:00:15,54.608002,0.289,0,252.046997,57.01200104,GoodBiscuit,Delishus_NB_75
1841389,2015-05-13 16:00:15,54.584999,0.17,0,265.467987,50.0530014,GoodBiscuit,Delishus_NB_75
1841390,2015-05-13 16:00:15,52.865002,0.75,0,257.415985,33.77799988,GoodBiscuit,Delishus_NB_75
1841391,2015-05-13 16:00:15,53.02,1.232,0,285.332001,51.23099899,GoodBiscuit,Delishus_NB_75
1841392,2015-05-13 16:00:15,55.110001,0.288,0,319.42099,54.56399918,GoodBiscuit,Delishus_NB_75
1841393,2015-05-13 16:00:15,53.125,1.813,0,300.631989,45.09600067,GoodBiscuit,Delishus_NB_75
1841394,2015-05-13 16:00:16,54.367001,0.742,0,378.204987,38.18899918,GoodBiscuit,Delishus_NB_75
1841395,2015-05-13 16:00:16,56.233002,0.738,0,281.17099,46.56399918,GoodBiscuit,Delishus_NB_75
1841396,2015-05-13 16:00:16,56.775002,0.772,0,259.428986,47.08599854,GoodBiscuit,Delishus_NB_75
1841397,2015-05-13 16:00:16,56.330002,0.158,0,137.029007,54.80099869,GoodBiscuit,Delishus_NB_75
1841398,2015-05-13 16:00:16,56.000999,0.736,0,197.423996,48.84199905,GoodBiscuit,Delishus_NB_75
1841399,2015-05-13 16:00:17,53.726002,0.321,0,147.095001,51.65499878,GoodBiscuit,Delishus_NB_75
1841400,2015-05-13 16:00:17,56.254002,0.711,0,176.487,60.66899872,GoodBiscuit,Delishus_NB_75
1841401,2015-05-13 16:00:17,54.389,0.89,0,220.776001,62.50500107,GoodBiscuit,Delishus_NB_75
1841402,2015-05-13 16:00:17,53.034,0.779,0,260.100006,49.48099899,GoodBiscuit,Delishus_NB_75
1841403,2015-05-13 16:00:18,55.181,0.492,0,160.917999,60.72700119,GoodBiscuit,Delishus_NB_75
1841404,2015-05-13 16:00:18,57.153,0.413,0,177.962997,53.52000046,GoodBiscuit,Delishus_NB_75
1841405,2015-05-13 16:00:18,54.141998,1.385,0,228.292007,41.46500015,GoodBiscuit,Delishus_NB_75
1841406,2015-05-13 16:00:18,55.058998,1.17,0,116.628998,61.26900101,GoodBiscuit,Delishus_NB_75
1841407,2015-05-13 16:00:18,56.532001,0.428,0,219.567993,57.28099823,GoodBiscuit,Delishus_NB_75
1841408,2015-05-13 16:00:19,53.970001,0.392,0,296.739014,59.17599869,GoodBiscuit,Delishus_NB_75
1841409,2015-05-13 16:00:19,55.671001,1.002,0,446.384003,63.76499939,GoodBiscuit,Delishus_NB_75
1841410,2015-05-13 16:00:19,53.009998,1.038,0,316.871002,45.34600067,GoodBiscuit,Delishus_NB_75
1841411,2015-05-13 16:00:19,57.410999,0.682,0,206.281998,52.74100113,GoodBiscuit,Delishus_NB_75
1841412,2015-05-13 16:00:19,54.860001,0.446,0,235.404999,57.49499893,GoodBiscuit,Delishus_NB_75
1841413,2015-05-13 16:00:20,52.609001,1.194,0,223.863007,51.4980011,GoodBiscuit,Delishus_NB_75
1841414,2015-05-13 16:00:20,55.153999,0.339,0,319.824005,49.31800079,GoodBiscuit,Delishus_NB_75
1841415,2015-05-13 16:00:20,55.953999,0.579,0,220.238998,48.93199921,GoodBiscuit,Delishus_NB_75
1841416,2015-05-13 16:00:20,51.48,1.362,0,184.404999,46.90800095,GoodBiscuit,Delishus_NB_75
1841417,2015-05-13 16:00:20,54.723999,0.571,0,167.494995,63.90200043,GoodBiscuit,Delishus_NB_75
1841418,2015-05-13 16:00:21,55.279999,0.607,0,317.945007,49.81999969,GoodBiscuit,Delishus_NB_75
1841419,2015-05-13 16:00:21,56.209999,1.901,0,218.091995,54.20899963,GoodBiscuit,Delishus_NB_75
1841420,2015-05-13 16:00:21,54.043999,0.4,0,285.466003,52.19300079,GoodBiscuit,Delishus_NB_75
1841421,2015-05-13 16:00:21,54.174999,0.899,0,148.302994,57.70899963,GoodBiscuit,Delishus_NB_75
1841422,2015-05-13 16:00:21,53.847,1.329,0,211.516006,46.02199936,GoodBiscuit,Delishus_NB_75
1841423,2015-05-13 16:00:21,55.911999,1.37,0,120.789001,53.08499908,GoodBiscuit,Delishus_NB_75
1841424,2015-05-13 16:00:22,55.326,0.447,0,248.154999,59.18000031,GoodBiscuit,Delishus_NB_75
1841425,2015-05-13 16:00:22,54.272999,0.472,0,190.981995,55.59500122,GoodBiscuit,Delishus_NB_75
1841426,2015-05-13 16:00:22,53.410999,0.844,0,218.225998,47.19300079,GoodBiscuit,Delishus_NB_75
1841427,2015-05-13 16:00:22,54.601002,0.433,0,189.237,55.99300003,GoodBiscuit,Delishus_NB_75
1841428,2015-05-13 16:00:22,53.395,0.469,0,232.317993,56.27000046,GoodBiscuit,Delishus_NB_75
1841429,2015-05-13 16:00:23,56.354,0.85,0,329.621002,58.06299973,GoodBiscuit,Delishus_NB_75
1841430,2015-05-13 16:00:23,52.639999,0.382,0,175.815994,54.0909996,GoodBiscuit,Delishus_NB_75
1841431,2015-05-13 16:00:23,54.948002,0.416,0,245.067993,52.25500107,GoodBiscuit,Delishus_NB_75
1841432,2015-05-13 16:00:23,54.563,0.411,0,173.132004,60.42300034,GoodBiscuit,Delishus_NB_75
1841433,2015-05-13 16:00:23,55.584,0.593,0,257.549988,51.99599838,GoodBiscuit,Delishus_NB_75
1841434,2015-05-13 16:00:24,53.009998,1.378,0,178.5,43.93700027,GoodBiscuit,Delishus_NB_75
1841435,2015-05-13 16:00:24,53.195,0.807,0,182.391998,45.07500076,GoodBiscuit,Delishus_NB_75
1841436,2015-05-13 16:00:24,55.452,0.417,0,214.871002,43.45000076,GoodBiscuit,Delishus_NB_75
1841437,2015-05-13 16:00:24,54.841999,1.918,0,186.016006,43.09799957,GoodBiscuit,Delishus_NB_75
1841438,2015-05-13 16:00:24,55.994999,0.602,0,215.811005,51.36500168,GoodBiscuit,Delishus_NB_75
1841439,2015-05-13 16:00:25,54.974998,0.637,0,211.917999,50.19300079,GoodBiscuit,Delishus_NB_75
1841440,2015-05-13 16:00:25,55.994999,0.987,0,316.334015,59.59500122,GoodBiscuit,Delishus_NB_75
1841441,2015-05-13 16:00:25,53.474998,0.397,0,170.983994,57.90599823,GoodBiscuit,Delishus_NB_75
1841442,2015-05-13 16:00:25,53.949001,1.497,0,280.768005,46.49499893,GoodBiscuit,Delishus_NB_75
1841443,2015-05-13 16:00:25,55.201,0.043,0,345.054993,56.83100128,GoodBiscuit,Delishus_NB_75
1841444,2015-05-13 16:00:26,54.917,1.238,0,109.650002,30.73399925,GoodBiscuit,Delishus_NB_75
1841445,2015-05-13 16:00:26,55.52,1.0319999,0,225.205002,62.13600159,GoodBiscuit,Delishus_NB_75
1841446,2015-05-13 16:00:26,55.373001,0.622,0,181.453003,51.1230011,GoodBiscuit,Delishus_NB_75
1841447,2015-05-13 16:00:26,52.681999,0.578,0,204.671005,41.5929985,GoodBiscuit,Delishus_NB_75
1841448,2015-05-13 16:00:26,55.318001,1.563,0,108.307999,40.91500092,GoodBiscuit,Delishus_NB_75
1841449,2015-05-13 16:00:27,54.494999,0.509,0,216.078995,51.50999832,GoodBiscuit,Delishus_NB_75
